id,channel_id,book_type,book_id,count,start_at,created_at,updated_at
c5c3568b-bdeb-4e20-9b88-080a29d50139,1418479c-d5a7-4d29-a174-c5133ca484b6,AozoraBook,1567,31,2018-05-01 0:00:00,2018-05-01 0:00:00,2018-05-01 0:00:00
7f344ed0-12b7-47b8-936b-f87fd9520213,1418479c-d5a7-4d29-a174-c5133ca484b6,AozoraBook,799,30,2018-06-01 0:00:00,2018-06-01 0:00:00,2018-06-01 0:00:00
56c237a1-61bf-48f0-b324-dcb517ba5db4,1418479c-d5a7-4d29-a174-c5133ca484b6,AozoraBook,45761,31,2018-07-01 0:00:00,2018-07-01 0:00:00,2018-07-01 0:00:00
4e3cf8ed-58b2-4111-a5d7-2d0577c18f47,1418479c-d5a7-4d29-a174-c5133ca484b6,AozoraBook,56645,31,2018-08-01 0:00:00,2018-08-01 0:00:00,2018-08-01 0:00:00
e4834f17-0f1b-43dc-ab3e-eeed3e477f1a,1418479c-d5a7-4d29-a174-c5133ca484b6,AozoraBook,56648,31,2018-08-01 0:00:00,2018-08-01 0:00:00,2018-08-01 0:00:00
11d91f5d-a334-4f67-988c-b39746f521e7,1418479c-d5a7-4d29-a174-c5133ca484b6,AozoraBook,1814,30,2018-09-01 0:00:00,2018-09-01 0:00:00,2018-09-01 0:00:00
d859f8cb-75a1-4e52-9284-c08a5ed02893,1418479c-d5a7-4d29-a174-c5133ca484b6,AozoraBook,49864,31,2018-10-01 0:00:00,2018-10-01 0:00:00,2018-10-01 0:00:00
9b8a440d-c4c3-4b2e-a3f8-cbc7521ac542,1418479c-d5a7-4d29-a174-c5133ca484b6,AozoraBook,622,15,2018-11-01 0:00:00,2018-11-01 0:00:00,2018-11-01 0:00:00
28693b02-8998-472c-ac84-f70f1c2a2143,1418479c-d5a7-4d29-a174-c5133ca484b6,AozoraBook,624,15,2018-11-16 0:00:00,2018-11-16 0:00:00,2018-11-16 0:00:00
3eb608de-1288-4867-9693-e1f4493c7003,1418479c-d5a7-4d29-a174-c5133ca484b6,AozoraBook,388,31,2018-12-01 0:00:00,2018-12-01 0:00:00,2018-12-01 0:00:00
e2144221-20b1-4d77-852d-8c1f036dd41e,1418479c-d5a7-4d29-a174-c5133ca484b6,AozoraBook,54404,10,2019-01-01 0:00:00,2019-01-01 0:00:00,2019-01-01 0:00:00
25bfcf0c-9a48-4a72-81da-621eab6d8522,1418479c-d5a7-4d29-a174-c5133ca484b6,AozoraBook,51034,10,2019-01-11 0:00:00,2019-01-11 0:00:00,2019-01-11 0:00:00
4af6d3ed-0786-48a1-9550-a6bd14a7ca2d,1418479c-d5a7-4d29-a174-c5133ca484b6,AozoraBook,54372,11,2019-01-21 0:00:00,2019-01-21 0:00:00,2019-01-21 0:00:00
9610352b-c6c9-49e9-afa7-2752451ef313,1418479c-d5a7-4d29-a174-c5133ca484b6,AozoraBook,691,28,2019-02-01 0:00:00,2019-02-01 0:00:00,2019-02-01 0:00:00
7c828a54-dc22-491d-b054-21bbe2dc1189,1418479c-d5a7-4d29-a174-c5133ca484b6,AozoraBook,932,31,2019-03-01 0:00:00,2019-03-01 0:00:00,2019-03-01 0:00:00
3ec4d86e-8436-4902-993b-b736f0bab82c,1418479c-d5a7-4d29-a174-c5133ca484b6,AozoraBook,42618,30,2019-04-01 0:00:00,2019-04-01 0:00:00,2019-04-01 0:00:00
